,county,pop_total,unemployment_rate,income,temp
252,"Butler County, Kansas",67380,0.045,58897,75.0
253,"Douglas County, Kansas",118785,0.047,50939,72.8
254,"Johnson County, Kansas",609863,0.026,76113,72.6
255,"Leavenworth County, Kansas",81881,0.039,63726,72.3
256,"Riley County, Kansas",71959,0.073,44437,73.2
257,"Sedgwick County, Kansas",523824,0.053,50657,75.2
258,"Shawnee County, Kansas",178909,0.031,50378,72.6
259,"Wyandotte County, Kansas",169245,0.054,40113,72.6
260,"Boone County, Kentucky",135968,0.021,66730,69.5
261,"Bullitt County, Kentucky",82217,0.037,55975,70.5
262,"Campbell County, Kentucky",93076,0.036,54621,69.4
263,"Christian County, Kentucky",72748,0.129,39521,70.3
264,"Daviess County, Kentucky",103312,0.037,45989,70.1
265,"Fayette County, Kentucky",322570,0.053,49778,68.7
266,"Hardin County, Kentucky",110702,0.054,50765,69.0
267,"Jefferson County, Kentucky",782969,0.045,48695,70.9
268,"Kenton County, Kentucky",169064,0.0279999999999999,54296,69.3
269,"McCracken County, Kentucky",67875,0.034,44067,71.9
270,"Madison County, Kentucky",92701,0.055,42390,69.0
271,"Oldham County, Kentucky",67607,0.052,85452,69.9
272,"Warren County, Kentucky",134554,0.047,44911,69.0
273,"Ascension Parish, Louisiana",126500,0.024,70551,77.7
274,"Bossier Parish, Louisiana",128746,0.027,52892,76.8
275,"Caddo Parish, Louisiana",237848,0.06,41234,76.8
276,"Calcasieu Parish, Louisiana",216785,0.0559999999999999,45312,77.5
277,"East Baton Rouge Parish, Louisiana",456781,0.066,49285,76.7
278,"Iberia Parish, Louisiana",69929,0.022,45261,77.5
279,"Jefferson Parish, Louisiana",440781,0.043,47947,78.3
280,"Lafayette Parish, Louisiana",241753,0.055,51869,77.3
281,"Lafourche Parish, Louisiana",97557,0.061,51030,78.2
282,"Livingston Parish, Louisiana",142282,0.0409999999999999,58251,77.0
283,"Orleans Parish, Louisiana",383997,0.078,36792,78.0
284,"Ouachita Parish, Louisiana",160368,0.035,37754,75.3
285,"Rapides Parish, Louisiana",130023,0.039,40734,76.3
286,"St. Landry Parish, Louisiana",82540,0.06,32625,76.7
287,"St. Tammany Parish, Louisiana",264570,0.042,62137,77.4
288,"Tangipahoa Parish, Louisiana",133157,0.055,41302,76.8
289,"Terrebonne Parish, Louisiana",109580,0.055,47826,78.2
290,"Androscoggin County, Maine",111139,0.024,47537,62.2
291,"Aroostook County, Maine",67105,0.06,36923,57.3
292,"Cumberland County, Maine",303069,0.025,60051,62.4
293,"Kennebec County, Maine",123642,0.031,46917,62.1
294,"Penobscot County, Maine",152199,0.039,44271,60.0
295,"York County, Maine",211972,0.039,57919,62.8
296,"Allegany County, Maryland",68106,0.062,40551,66.0
297,"Anne Arundel County, Maryland",588261,0.036,89860,72.0
298,"Baltimore County, Maryland",854535,0.042,67095,69.4
299,"Calvert County, Maryland",92783,0.032,95828,71.8
300,"Carroll County, Maryland",172891,0.026,85385,67.7
301,"Cecil County, Maryland",103725,0.024,66396,70.2
302,"Charles County, Maryland",166617,0.037,90607,71.9
303,"Frederick County, Maryland",271717,0.035,83700,68.0
304,"Harford County, Maryland",260924,0.0289999999999999,80465,69.9
305,"Howard County, Maryland",332317,0.045,110238,69.0
306,"Montgomery County, Maryland",1062061,0.044,99435,69.0
307,"Prince George's County, Maryland",967201,0.055,74260,71.0
308,"St. Mary's County, Maryland",113777,0.04,86987,72.4
309,"Washington County, Maryland",154705,0.054,56228,67.5
310,"Wicomico County, Maryland",103588,0.059,52278,71.8
311,"Barnstable County, Massachusetts",228996,0.031,63251,67.5
312,"Berkshire County, Massachusetts",129026,0.038,49956,61.8
313,"Bristol County, Massachusetts",579200,0.04,56842,66.8
314,"Essex County, Massachusetts",809829,0.045,69068,66.2
315,"Franklin County, Massachusetts",71029,0.051,55221,63.8
316,"Hampden County, Massachusetts",465825,0.044,50461,64.1
317,"Hampshire County, Massachusetts",162308,0.043,61368,63.9
318,"Middlesex County, Massachusetts",1632002,0.031,85118,65.8
319,"Norfolk County, Massachusetts",725981,0.032,88262,66.2
320,"Plymouth County, Massachusetts",530819,0.044,75459,66.8
321,"Suffolk County, Massachusetts",797936,0.045,55044,67.1
322,"Worcester County, Massachusetts",862111,0.044,65313,64.3
323,"Allegan County, Michigan",120502,0.02,54264,65.6
324,"Bay County, Michigan",103856,0.045,45583,63.0
325,"Berrien County, Michigan",154316,0.05,44993,67.5
326,"Calhoun County, Michigan",134310,0.0559999999999999,42520,65.3
327,"Clinton County, Michigan",79128,0.031,60909,64.6
328,"Eaton County, Michigan",109175,0.043,54993,64.8
329,"Genesee County, Michigan",406211,0.086,42327,64.4
330,"Grand Traverse County, Michigan",95238,0.031,52950,60.8
331,"Ingham County, Michigan",284900,0.049,45679,64.6
332,"Isabella County, Michigan",64394,0.07,39377,62.1
333,"Jackson County, Michigan",160366,0.052,46326,64.7
334,"Kalamazoo County, Michigan",261670,0.047,47476,65.9
335,"Kent County, Michigan",657974,0.038,53063,63.8
336,"Lapeer County, Michigan",88619,0.048,52996,64.0
337,"Lenawee County, Michigan",99423,0.0559999999999999,48043,65.9
338,"Livingston County, Michigan",193866,0.0409999999999999,75204,64.2
339,"Macomb County, Michigan",881217,0.048,54582,66.2
340,"Marquette County, Michigan",66017,0.05,45409,57.6
341,"Midland County, Michigan",83494,0.033,54059,63.1
342,"Monroe County, Michigan",154809,0.049,55653,67.0
343,"Muskegon County, Michigan",175824,0.067,42829,63.9
344,"Oakland County, Michigan",1274395,0.0409999999999999,67465,64.7
345,"Ottawa County, Michigan",296200,0.0279999999999999,58989,64.9
346,"Saginaw County, Michigan",190124,0.052,43042,63.9
347,"St. Clair County, Michigan",160383,0.0579999999999999,49730,65.5
348,"Shiawassee County, Michigan",68094,0.05,48233,64.3
349,"Van Buren County, Michigan",75587,0.053,46008,66.2
350,"Washtenaw County, Michigan",372258,0.03,61003,64.7
351,"Wayne County, Michigan",1793561,0.066,41210,66.6
352,"Anoka County, Minnesota",363887,0.034,70873,63.5
353,"Blue Earth County, Minnesota",69112,0.026,50061,64.2
354,"Carver County, Minnesota",106922,0.032,86323,63.8
355,"Crow Wing County, Minnesota",66123,0.032,49435,61.3
356,"Dakota County, Minnesota",439882,0.039,75567,64.1
357,"Hennepin County, Minnesota",1281565,0.032,65834,64.2
358,"Olmsted County, Minnesota",162847,0.021,68023,62.1
359,"Ramsey County, Minnesota",552352,0.036,56104,64.4
360,"Rice County, Minnesota",67097,0.034,59598,63.0
361,"St. Louis County, Minnesota",200231,0.032,48331,57.5
362,"Scott County, Minnesota",150928,0.024,87794,64.1
363,"Sherburne County, Minnesota",97183,0.025,74170,63.2
364,"Stearns County, Minnesota",158292,0.0409999999999999,56336,62.9
365,"Washington County, Minnesota",267568,0.025,83706,64.0
366,"Wright County, Minnesota",141337,0.01,73557,63.4
367,"DeSoto County, Mississippi",185314,0.045,58278,73.9
368,"Forrest County, Mississippi",78158,0.067,36416,75.7
369,"Harrison County, Mississippi",208621,0.084,41722,76.2
370,"Hinds County, Mississippi",227742,0.085,37324,75.4
371,"Jackson County, Mississippi",143252,0.0969999999999999,48406,76.7
372,"Jones County, Mississippi",67246,0.018,37143,75.6
373,"Lauderdale County, Mississippi",72984,0.034,38132,74.2
374,"Lee County, Mississippi",83343,0.045,42784,74.2
375,"Madison County, Mississippi",109145,0.038,64376,75.3
376,"Rankin County, Mississippi",157031,0.049,58801,74.8
377,"Boone County, Missouri",183610,0.042,49899,72.2
378,"Buchanan County, Missouri",84793,0.035,46315,70.8
379,"Cape Girardeau County, Missouri",81710,0.036,46050,71.6
380,"Cass County, Missouri",107824,0.033,61584,72.1
381,"Christian County, Missouri",88842,0.018,53270,71.4
382,"Clay County, Missouri",253335,0.036,62099,71.7
383,"Cole County, Missouri",77279,0.021,53088,72.7
384,"Franklin County, Missouri",104682,0.047,48480,70.8
385,"Greene County, Missouri",298915,0.033,41227,71.6
386,"Jackson County, Missouri",717204,0.034,46869,72.1
387,"Jasper County, Missouri",122761,0.0559999999999999,41811,74.0
388,"Jefferson County, Missouri",226739,0.05,55348,71.5
389,"Platte County, Missouri",106718,0.049,68254,71.7
390,"St. Charles County, Missouri",405262,0.022,72415,71.8
391,"St. Francois County, Missouri",66922,0.072,39741,69.8
392,"St. Louis County, Missouri",1004125,0.036,59755,72.3
393,"Cascade County, Montana",84414,0.025,45205,58.3
394,"Flathead County, Montana",104357,0.037,47851,52.7
395,"Gallatin County, Montana",118960,0.036,55553,54.9
396,"Lewis and Clark County, Montana",70973,0.05,56197,55.4
397,"Missoula County, Montana",117922,0.05,46164,54.2
398,"Yellowstone County, Montana",164731,0.033,52802,62.2
399,"Douglas County, Nebraska",584526,0.043,54659,69.5
400,"Lancaster County, Nebraska",322608,0.036,51830,69.4
401,"Sarpy County, Nebraska",190604,0.0289999999999999,70543,69.6
402,"Clark County, Nevada",2265461,0.053,51575,79.9
403,"Washoe County, Nevada",486492,0.048,52870,63.3
404,"Cheshire County, New Hampshire",76458,0.023,57782,62.0
405,"Grafton County, New Hampshire",91118,0.019,55762,58.8
406,"Hillsborough County, New Hampshire",422937,0.037,71244,63.6
407,"Merrimack County, New Hampshire",153808,0.024,65983,62.3
408,"Rockingham County, New Hampshire",314176,0.026,81198,64.9
409,"Strafford County, New Hampshire",130889,0.032,60711,63.5
410,"Atlantic County, New Jersey",274534,0.0579999999999999,54461,70.0
411,"Bergen County, New Jersey",955732,0.033,85806,68.9
412,"Burlington County, New Jersey",461860,0.044,78621,69.7
413,"Camden County, New Jersey",523485,0.06,62185,69.9
414,"Cape May County, New Jersey",95263,0.049,57637,70.9
415,"Cumberland County, New Jersey",154152,0.076,49984,70.4
416,"Essex County, New Jersey",863728,0.07,53976,69.5
417,"Gloucester County, New Jersey",302294,0.042,76727,70.3
418,"Hudson County, New Jersey",724854,0.031,59741,71.0
419,"Hunterdon County, New Jersey",128947,0.048,105444,66.6
420,"Mercer County, New Jersey",387340,0.054,72804,68.6
421,"Middlesex County, New Jersey",863162,0.038,79593,69.6
422,"Monmouth County, New Jersey",643615,0.0409999999999999,85242,69.8
423,"Morris County, New Jersey",509285,0.0409999999999999,100214,66.4
424,"Ocean County, New Jersey",637229,0.044,61994,69.7
425,"Passaic County, New Jersey",524118,0.048,59739,66.9
426,"Salem County, New Jersey",64837,0.051,61831,70.5
427,"Somerset County, New Jersey",345361,0.048,100667,68.1
428,"Sussex County, New Jersey",144221,0.048,86565,64.7
429,"Union County, New Jersey",575345,0.054,69594,69.9
430,"Warren County, New Jersey",109632,0.057,70471,65.4
431,"Bernalillo County, New Mexico",676444,0.052,47725,68.8
432,"Chaves County, New Mexico",65157,0.048,40630,73.6
433,"Lea County, New Mexico",74455,0.042,57533,74.6
434,"McKinley County, New Mexico",72902,0.076,28772,64.1
435,"Otero County, New Mexico",67839,0.103,39775,70.0
436,"Sandoval County, New Mexico",148834,0.049,58982,65.5
437,"San Juan County, New Mexico",121661,0.065,48671,66.8
438,"Santa Fe County, New Mexico",154823,0.045,54315,65.0
439,"Valencia County, New Mexico",76205,0.065,41703,70.1
440,"Albany County, New York",314848,0.039,59887,63.7
441,"Bronx County, New York",1472654,0.091,34299,70.7
442,"Broome County, New York",198683,0.038,46261,61.8
443,"Cattaraugus County, New York",77042,0.037,42601,61.6
444,"Cayuga County, New York",76248,0.0279999999999999,52082,63.1
445,"Chautauqua County, New York",127657,0.047,42993,63.5
446,"Chemung County, New York",84148,0.069,50320,62.7
447,"Clinton County, New York",79843,0.031,49930,60.0
448,"Dutchess County, New York",295911,0.032,71904,65.3
449,"Erie County, New York",954236,0.035,51247,64.2
450,"Jefferson County, New York",116721,0.06,49505,61.6
451,"Kings County, New York",2736074,0.045,48201,71.3
452,"Livingston County, New York",61834,0.023,51734,63.5
453,"Madison County, New York",68016,0.022,54145,61.8
454,"Monroe County, New York",759443,0.045,52553,64.3
455,"Nassau County, New York",1395774,0.034,99465,70.0
456,"New York County, New York",1694251,0.042,72871,71.0
457,"Niagara County, New York",212666,0.045,49449,65.2
458,"Oneida County, New York",232125,0.047,48246,61.6
459,"Onondaga County, New York",476516,0.039,55092,63.4
460,"Ontario County, New York",112458,0.023,57416,63.3
461,"Orange County, New York",401310,0.03,70848,65.2
462,"Oswego County, New York",117525,0.046,47860,62.9
463,"Putnam County, New York",97668,0.0289999999999999,96148,66.3
464,"Queens County, New York",2405464,0.046,57720,70.7
465,"Rensselaer County, New York",161130,0.046,60709,63.7
